订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2065313707829346305,2064375069823860736,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-12 02:02:14,2026-06-12 02:03:24,,會員提現
OTX2065343956772306945,2065062780082909184,aq1122,提現,185,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-12 04:02:26,2026-06-12 04:21:34,,會員提現
OTX2065383901629104129,2065376588613611520,a1760356615,充值,50,USDT,已完成,bgw,bgw,2026-06-12 06:41:09,2026-06-12 06:41:15,,在線充值
OTX2065394797185187841,2065376588613611520,a1760356615,提現,30,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-12 07:24:27,2026-06-12 07:25:34,,會員提現
OTX2065403421924114433,2064375069823860736,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-12 07:58:43,2026-06-12 07:59:49,,會員提現
OTX2065406587830910977,2064375069823860736,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-12 08:11:18,2026-06-12 08:14:29,,會員提現
2026061212580238706,2065416090673541120,test01,充值,5000,USDT,已成功,,,2026-06-12 08:59:08,2026-06-12 08:59:08,,資金修正-充值補發
2026061212580250351,2065415633301467136,test01,充值,5000,USDT,已成功,,,2026-06-12 08:59:10,2026-06-12 08:59:10,,資金修正-充值補發
2026061212580279507,2065414299378577408,test01,充值,5000,USDT,已成功,,,2026-06-12 08:59:11,2026-06-12 08:59:11,,資金修正-充值補發
2026061212580268289,2065413860142673920,test01,充值,5000,USDT,已成功,,,2026-06-12 08:59:13,2026-06-12 08:59:13,,資金修正-充值補發
OTX2065457031806566401,2065183159992512512,a1760356615,充值,500,USDT,已完成,bgw,bgw,2026-06-12 11:31:45,2026-06-12 11:32:15,,在線充值
OTX2065491493143461889,2065062780082909184,aq1122,充值,100,USDT,已完成,bgw,bgw,2026-06-12 13:48:41,2026-06-12 13:49:15,,在線充值
OTX2065499986982354945,2065117050807316480,qx1122,充值,1900,USDT,已完成,bgw,bgw,2026-06-12 14:22:26,2026-06-12 14:23:15,,在線充值
OTX2065506509594836993,2065117050807316480,qx1122,充值,9000,USDT,已完成,bgw,bgw,2026-06-12 14:48:21,2026-06-12 14:49:15,,在線充值
